"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","2015-02-11",,"39","20","21",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-12",,"35","19","27",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-13",,"39","5","5",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-14",,"20","2","8",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-15",,"25","8","11",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-16",,"17","0","1",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-17",,"20","1","12",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-18",,"28","1","5",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-19",,"32","5","13",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-20",,"21","-1","0",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-21",,"18","-2","2",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-22",,"27","1","27",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-23",,"47","25","25",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-24",,"25","-5","-3",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-25",,"23","-6","6",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-26",,"37","5","20",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-27",,"30","12","16",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-02-28",,"30","7","10",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-01",,"31","9","18",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-02",,"31","18","31",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-03",,"38","8","11",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-04",,"35","11","35",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-05",,"45","32","32",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-06",,"33","6","7",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-07",,"29","2","5",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-08",,"37","5","33",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-09",,"46","25","30",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-10",,"52","28","29",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-11",,"53","28","39",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-12",,"57","38","40",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-13",,"46","26","26",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-14",,"43","23","35",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-15",,"44","34","38",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-16",,"43","25","32",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-17",,"50","31","40",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-18",,"54","28","28",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-19",,"39","24","27",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-20",,"41","26","31",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-21",,"42","29","33",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-22",,"44","29","30",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-23",,"41","21","22",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-24",,"37","21","25",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-25",,"44","23","23",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-26",,"56","23","37","    1",,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-27",,"53","37","37",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-28",,"45","31","32",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-29",,"41","23","23",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-30",,"45","23","35",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-03-31",,"52","35","36",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-01",,"46","30","30",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-02",,"49","28","29",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-03",,"63","29","53",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-04",,"62","44","45",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-05",,"51","28","37",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-06",,"59","30","35",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-07",,"69","35","49",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-08",,"56","42","42",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-09",,"45","36","37",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-10",,"43","37","40","    1",,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-11",,"51","38","49",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-12",,"54","34","43",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-13",,"68","38","43",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-14",,"75","43","58",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-15",,"66","49","50",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-16",,"70","41","41",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-17",,"65","41","53",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-18",,"70","48","49",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-19",,"79","44","46",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-20",,"66","45","46",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-21",,"57","45","54",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-22",,"65","41","42",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-23",,"70","39","40",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-24",,"51","37","38",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-25",,"49","32","39",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-26",,"56","34","47",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-27",,"62","32","47",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-28",,"61","47","49",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-29",,"71","49","54",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-04-30",,"75","45","47",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-01",,"69","46","49",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-02",,"61","41","52",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-03",,"70","40","49",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-04",,"81","47","49",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-05",,"84","49","59",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-06",,"84","59","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-07",,"70","46","48",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-08",,"82","48","52",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-09",,"87","52","60",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-10",,"73","59","63","    1",,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-11",,"83","62","70",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-12",,"86","64","67",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-13",,"84","55","57",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-14",,"68","47","48",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-15",,"73","45","47",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-16",,"76","47","58",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-17",,"78","58","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-18",,"85","64","66",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-19",,"68","56","57","    1",,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-20",,"80","55","56",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-21",,"62","48","49",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-22",,"63","49","53",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-23",,"74","44","46",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-24",,"70","42","45",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-25",,"81","45","60",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-26",,"86","59","64",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-27",,"88","64","68",,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2015-05-28",,"87","68","71",,,,,,,,,
